iter	Passed	Remaining
0	149	149373
1	150	74853
2	150	50016
3	150	37582
4	151	30122
5	151	25147
6	152	21593
7	152	18928
8	153	16864
9	153	15212
10	154	13857
11	154	12730
12	155	11783
13	155	10969
14	156	10270
15	157	9656
16	157	9114
17	158	8639
18	158	8201
19	159	7803
20	159	7443
21	160	7115
22	160	6816
23	160	6542
24	161	6290
25	161	6057
26	162	5841
27	162	5641
28	162	5454
29	163	5280
30	163	5117
31	164	4965
32	164	4822
33	164	4687
34	165	4565
35	166	4448
36	166	4336
37	167	4229
38	167	4127
39	167	4029
40	168	3937
41	168	3852
42	169	3769
43	169	3692
44	170	3617
45	172	3570
46	172	3500
47	173	3435
48	173	3372
49	174	3309
50	174	3249
51	175	3190
52	175	3134
53	175	3080
54	176	3028
55	176	2978
56	177	2929
57	177	2882
58	177	2837
59	178	2793
60	178	2750
61	179	2709
62	179	2669
63	179	2631
64	180	2595
65	180	2560
66	181	2525
67	181	2492
68	182	2460
69	182	2428
70	183	2398
71	183	2368
72	184	2340
73	184	2311
74	201	2485
75	202	2462
76	203	2438
77	204	2411
78	204	2384
79	204	2357
80	205	2332
81	206	2306
82	206	2279
83	206	2253
84	207	2229
85	207	2205
86	207	2181
87	208	2158
88	208	2136
89	209	2114
90	209	2093
91	209	2071
92	210	2051
93	210	2031
94	211	2011
95	211	1993
96	212	1974
97	212	1956
98	213	1939
99	213	1921
100	213	1904
101	214	1887
102	214	1871
103	215	1856
104	216	1841
105	216	1826
106	217	1812
107	217	1797
108	218	1783
109	218	1769
110	219	1754
111	219	1741
112	220	1727
113	220	1713
114	220	1699
115	221	1686
116	221	1672
117	221	1659
118	222	1646
119	222	1633
120	223	1621
121	223	1608
122	223	1596
123	224	1584
124	224	1573
125	225	1561
126	225	1549
127	225	1538
128	226	1528
129	226	1518
130	227	1508
131	227	1497
132	228	1488
133	228	1479
134	229	1469
135	229	1460
136	230	1451
137	230	1442
138	231	1433
139	232	1425
140	232	1416
141	232	1406
142	233	1398
143	233	1390
144	234	1382
145	234	1373
146	235	1364
147	235	1356
148	235	1347
149	236	1339
150	236	1331
151	237	1323
152	237	1315
153	238	1307
154	238	1299
155	238	1292
156	239	1284
157	239	1277
158	240	1269
159	240	1262
160	240	1254
161	241	1248
162	241	1241
163	242	1234
164	242	1228
165	243	1221
166	243	1215
167	244	1208
168	244	1202
169	245	1197
170	245	1191
171	246	1185
172	246	1180
173	247	1174
174	247	1168
175	248	1162
176	249	1157
177	249	1152
178	249	1146
179	250	1140
180	250	1134
181	251	1128
182	251	1122
183	251	1117
184	252	1111
185	252	1106
186	253	1100
187	253	1095
188	253	1089
189	254	1084
190	254	1079
191	255	1073
192	255	1068
193	256	1064
194	256	1059
195	257	1054
196	257	1049
197	258	1045
198	258	1040
199	259	1036
200	259	1032
201	260	1028
202	261	1025
203	261	1022
204	262	1018
205	263	1014
206	263	1010
207	264	1006
208	264	1001
209	265	997
210	265	992
211	265	988
212	266	984
213	266	979
214	267	975
215	267	971
216	268	967
217	268	962
218	268	958
219	269	954
220	269	950
221	270	946
222	270	942
223	270	938
224	271	935
225	271	931
226	272	927
227	272	923
228	273	920
229	273	916
230	274	913
231	274	909
232	275	906
233	275	903
234	276	900
235	277	897
236	277	893
237	278	890
238	278	886
239	278	883
240	279	879
241	279	876
242	280	872
243	280	869
244	280	865
245	281	862
246	281	859
247	282	855
248	282	852
249	282	848
250	283	845
251	283	842
252	284	839
253	284	835
254	284	832
255	285	829
256	285	826
257	286	823
258	286	820
259	287	817
260	287	814
261	288	811
262	288	808
263	289	806
264	289	803
265	290	800
266	290	798
267	291	795
268	291	792
269	292	790
270	292	787
271	293	784
272	293	782
273	294	779
274	294	776
275	295	774
276	295	771
277	295	768
278	296	765
279	296	763
280	297	760
281	297	757
282	297	754
283	298	752
284	298	749
285	299	747
286	299	744
287	300	742
288	300	739
289	301	737
290	301	734
291	301	732
292	302	729
293	302	727
294	303	725
295	303	722
296	304	720
297	304	718
298	305	715
299	305	713
300	306	711
301	306	709
302	308	709
303	309	708
304	310	706
305	310	704
306	311	702
307	311	700
308	312	698
309	312	696
310	313	694
311	313	692
312	314	689
313	314	687
314	315	686
315	316	684
316	316	682
317	317	680
318	317	678
319	318	676
320	318	673
321	319	671
322	319	669
323	320	667
324	320	665
325	320	663
326	321	661
327	321	659
328	322	657
329	323	655
330	324	654
331	325	655
332	326	654
333	327	652
334	327	650
335	328	648
336	328	647
337	329	645
338	329	643
339	330	641
340	331	639
341	331	637
342	332	636
343	332	634
344	333	632
345	333	630
346	334	628
347	334	626
348	335	625
349	335	623
350	336	621
351	336	619
352	337	618
353	337	616
354	338	614
355	338	612
356	339	611
357	339	609
358	340	607
359	340	605
360	341	603
361	341	601
362	341	599
363	342	598
364	342	596
365	343	594
366	343	592
367	343	590
368	344	589
369	345	587
370	345	585
371	346	584
372	346	582
373	347	580
374	347	579
375	348	577
376	348	576
377	349	574
378	349	572
379	350	571
380	350	569
381	351	568
382	351	566
383	352	565
384	352	563
385	353	561
386	353	559
387	353	558
388	354	556
389	354	554
390	355	553
391	355	551
392	356	549
393	356	548
394	356	546
395	357	544
396	357	543
397	358	541
398	358	540
399	359	538
400	359	537
401	360	536
402	360	534
403	361	532
404	361	531
405	362	529
406	362	528
407	363	526
408	363	525
409	363	523
410	364	522
411	365	520
412	365	519
413	366	518
414	367	518
415	368	517
416	369	516
417	369	515
418	370	513
419	370	512
420	371	510
421	371	509
422	372	507
423	372	506
424	373	505
425	373	503
426	374	502
427	374	501
428	375	499
429	375	498
430	376	496
431	376	495
432	377	493
433	377	492
434	378	491
435	378	489
436	379	488
437	380	487
438	380	486
439	381	485
440	381	484
441	382	482
442	382	481
443	383	480
444	384	478
445	384	477
446	384	476
447	385	474
448	385	473
449	386	471
450	386	470
451	386	468
452	387	467
453	387	466
454	388	464
455	388	463
456	389	462
457	389	460
458	390	459
459	390	458
460	390	457
461	391	455
462	391	454
463	392	453
464	392	452
465	393	450
466	393	449
467	394	448
468	395	447
469	395	446
470	396	444
471	396	443
472	397	442
473	397	441
474	397	439
475	398	438
476	398	437
477	399	435
478	399	434
479	399	433
480	400	432
481	400	430
482	401	429
483	401	428
484	402	426
485	402	425
486	402	424
487	403	423
488	403	422
489	404	420
490	404	419
491	405	418
492	405	417
493	406	416
494	406	415
495	407	413
496	407	412
497	408	411
498	408	410
499	409	409
500	410	408
501	410	407
502	411	406
503	412	405
504	412	404
505	412	403
506	413	401
507	413	400
508	414	399
509	414	398
510	414	397
511	415	395
512	415	394
513	416	393
514	416	392
515	416	391
516	417	389
517	417	388
518	418	387
519	418	386
520	419	385
521	419	384
522	420	383
523	420	381
524	420	380
525	421	379
526	421	378
527	422	377
528	422	376
529	423	375
530	423	374
531	424	373
532	425	372
533	425	371
534	426	370
535	426	369
536	427	368
537	427	367
538	428	366
539	428	364
540	428	363
541	429	362
542	429	361
543	430	360
544	430	359
545	430	358
546	431	357
547	431	356
548	432	354
549	432	353
550	432	352
551	433	351
552	433	350
553	434	349
554	434	348
555	435	347
556	435	346
557	436	345
558	436	344
559	436	343
560	437	342
561	437	341
562	438	340
563	439	339
564	439	338
565	440	337
566	440	336
567	441	335
568	441	334
569	442	333
570	442	332
571	442	331
572	443	330
573	443	329
574	444	328
575	444	327
576	444	326
577	445	325
578	445	324
579	446	323
580	446	321
581	446	320
582	447	319
583	447	318
584	448	317
585	448	316
586	449	316
587	449	315
588	450	314
589	450	313
590	451	312
591	451	311
592	452	310
593	452	309
594	453	308
595	453	307
596	454	306
597	454	305
598	455	304
599	456	304
600	456	303
601	457	302
602	457	301
603	458	300
604	458	299
605	458	298
606	459	297
607	459	296
608	460	295
609	460	294
610	460	293
611	461	292
612	461	291
613	462	290
614	462	289
615	463	288
616	463	287
617	464	286
618	464	285
619	464	284
620	465	284
621	465	283
622	466	282
623	466	281
624	467	280
625	467	279
626	468	278
627	469	277
628	469	277
629	470	276
630	470	275
631	471	274
632	471	273
633	472	272
634	472	271
635	473	270
636	473	269
637	473	268
638	474	267
639	474	267
640	475	266
641	475	265
642	475	264
643	476	263
644	476	262
645	477	261
646	477	260
647	478	259
648	478	258
649	479	257
650	479	257
651	479	256
652	480	255
653	480	254
654	481	253
655	481	252
656	482	251
657	482	250
658	483	250
659	483	249
660	484	248
661	484	247
662	485	246
663	485	245
664	486	245
665	486	244
666	487	243
667	487	242
668	488	241
669	488	240
670	488	239
671	489	238
672	489	237
673	490	237
674	490	236
675	490	235
676	491	234
677	491	233
678	492	232
679	492	231
680	492	230
681	493	230
682	493	229
683	494	228
684	494	227
685	495	226
686	495	225
687	496	225
688	496	224
689	497	223
690	498	222
691	498	222
692	499	221
693	499	220
694	500	219
695	500	218
696	501	217
697	501	217
698	502	216
699	502	215
700	502	214
701	503	213
702	503	212
703	504	211
704	504	211
705	504	210
706	505	209
707	505	208
708	506	207
709	506	206
710	506	206
711	507	205
712	507	204
713	508	203
714	509	202
715	509	202
716	509	201
717	510	200
718	510	199
719	511	198
720	511	198
721	512	197
722	513	196
723	513	195
724	514	195
725	515	194
726	515	193
727	516	192
728	517	192
729	517	191
730	518	190
731	518	189
732	519	189
733	519	188
734	520	187
735	520	186
736	521	185
737	521	185
738	521	184
739	522	183
740	522	182
741	523	181
742	523	181
743	524	180
744	524	179
745	525	178
746	525	178
747	526	177
748	526	176
749	527	175
750	527	174
751	528	174
752	528	173
753	528	172
754	529	171
755	530	171
756	530	170
757	531	169
758	531	168
759	532	168
760	532	167
761	533	166
762	533	165
763	534	165
764	534	164
765	535	163
766	535	162
767	535	161
768	536	161
769	536	160
770	537	159
771	537	158
772	538	158
773	538	157
774	539	156
775	539	155
776	540	155
777	540	154
778	540	153
779	541	152
780	541	151
781	542	151
782	542	150
783	543	149
784	544	149
785	544	148
786	545	147
787	545	146
788	546	146
789	546	145
790	546	144
791	547	143
792	547	142
793	548	142
794	548	141
795	548	140
796	549	139
797	549	139
798	550	138
799	550	137
800	551	136
801	551	136
802	552	135
803	552	134
804	553	133
805	553	133
806	554	132
807	554	131
808	554	131
809	555	130
810	555	129
811	556	128
812	556	128
813	557	127
814	557	126
815	558	125
816	559	125
817	559	124
818	560	123
819	560	123
820	561	122
821	561	121
822	562	120
823	562	120
824	562	119
825	563	118
826	563	117
827	564	117
828	564	116
829	564	115
830	565	114
831	565	114
832	566	113
833	566	112
834	567	112
835	567	111
836	568	110
837	568	109
838	569	109
839	569	108
840	569	107
841	570	107
842	570	106
843	571	105
844	572	104
845	572	104
846	573	103
847	573	102
848	574	102
849	574	101
850	575	100
851	575	100
852	576	99
853	576	98
854	577	97
855	577	97
856	578	96
857	578	95
858	579	95
859	579	94
860	579	93
861	580	92
862	580	92
863	581	91
864	581	90
865	582	90
866	582	89
867	583	88
868	583	87
869	584	87
870	584	86
871	584	85
872	585	85
873	585	84
874	586	83
875	587	83
876	587	82
877	588	81
878	588	81
879	589	80
880	589	79
881	590	78
882	590	78
883	591	77
884	591	76
885	592	76
886	592	75
887	593	74
888	593	74
889	593	73
890	594	72
891	594	72
892	595	71
893	595	70
894	595	69
895	596	69
896	597	68
897	597	67
898	597	67
899	598	66
900	598	65
901	599	65
902	599	64
903	600	63
904	600	63
905	601	62
906	601	61
907	602	61
908	602	60
909	603	59
